STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       5906;1979110608:09;    1;   -999;    4.0;    4.0;   0;    80.05;1979110609:00;eor
       5906;1979110609:09;    1;   -999;    7.0;    7.0;   0;    73.26;1979110610:00;eor
       5906;1979110610:09;    1;   -999;   11.0;   11.0;   0;    68.33;1979110611:00;eor
       5906;1979110611:09;    1;   -999;   15.0;   15.0;   0;    65.72;1979110612:00;eor
       5906;1979110612:09;    1;   -999;   19.0;   20.0;   6;    65.73;1979110613:00;eor
       5906;1979110613:09;    1;   -999;   31.0;   31.0;   0;    68.37;1979110614:00;eor
       5906;1979110614:09;    1;   -999;   13.0;   13.0;   0;    73.32;1979110615:00;eor
       5906;1979110615:09;    1;   -999;    6.0;    6.0;   0;    80.12;1979110616:00;eor
       5906;1979110616:09;    1;   -999;    3.0;    3.0;   0;    88.27;1979110617:00;eor
       5906;1979110617:09;    1;   -999;    0.0;    0.0;   0;    97.32;1979110618:00;eor
       5906;1979110618:09;    1;   -999;    0.0;    0.0;   0;   106.89;1979110619:00;eor
       5906;1979110619:09;    1;   -999;    0.0;    0.0;   0;   116.62;1979110620:00;eor
       5906;1979110620:09;    1;   -999;    0.0;    0.0;   0;   126.11;1979110621:00;eor
       5906;1979110621:09;    1;   -999;    0.0;    0.0;   0;   134.81;1979110622:00;eor
       5906;1979110622:09;    1;   -999;    0.0;    0.0;   0;   141.84;1979110623:00;eor
       5906;1979110623:09;    1;   -999;    0.0;    0.0;   0;   145.96;1979110700:00;eor
       5906;1979110700:09;    1;   -999;    0.0;    0.0;   0;   145.97;1979110701:00;eor
       5906;1979110701:09;    1;   -999;    0.0;    0.0;   0;   141.88;1979110702:00;eor
       5906;1979110702:09;    1;   -999;    0.0;    0.0;   0;   134.86;1979110703:00;eor
       5906;1979110703:09;    1;   -999;    0.0;    0.0;   0;   126.18;1979110704:00;eor
       5906;1979110704:09;    1;   -999;    0.0;    0.0;   0;   116.70;1979110705:00;eor
       5906;1979110705:09;    1;   -999;    0.0;    0.0;   0;   106.99;1979110706:00;eor
       5906;1979110706:09;    1;   -999;    0.0;    0.0;   0;    97.44;1979110707:00;eor
       5906;1979110707:09;    1;   -999;    5.0;    5.0;   0;    88.42;1979110708:00;eor
       5906;1979110708:09;    1;   -999;   22.0;   30.0;  18;    80.30;1979110709:00;eor
       5906;1979110709:09;    1;   -999;   45.0;   73.0;  42;    73.54;1979110710:00;eor
       5906;1979110710:09;    1;   -999;   43.0;   80.0;  42;    68.62;1979110711:00;eor
       5906;1979110711:09;    1;   -999;   58.0;   73.0;  18;    66.01;1979110712:00;eor
       5906;1979110712:09;    1;   -999;   61.0;   95.0;  42;    66.03;1979110713:00;eor
       5906;1979110713:09;    1;   -999;   38.0;   44.0;  12;    68.65;1979110714:00;eor
       5906;1979110714:09;    1;   -999;   13.0;   13.0;   0;    73.60;1979110715:00;eor
       5906;1979110715:09;    1;   -999;    8.0;    8.0;   0;    80.38;1979110716:00;eor
       5906;1979110716:09;    1;   -999;    3.0;    3.0;   0;    88.51;1979110717:00;eor
       5906;1979110717:09;    1;   -999;    0.0;    0.0;   0;    97.55;1979110718:00;eor
       5906;1979110718:09;    1;   -999;    0.0;    0.0;   0;   107.11;1979110719:00;eor
       5906;1979110719:09;    1;   -999;    0.0;    0.0;   0;   116.85;1979110720:00;eor
       5906;1979110720:09;    1;   -999;    0.0;    0.0;   0;   126.34;1979110721:00;eor
       5906;1979110721:09;    1;   -999;    0.0;    0.0;   0;   135.06;1979110722:00;eor
       5906;1979110722:09;    1;   -999;    0.0;    0.0;   0;   142.12;1979110723:00;eor
       5906;1979110723:09;    1;   -999;    0.0;    0.0;   0;   146.25;1979110800:00;eor
       5906;1979110800:09;    1;   -999;    0.0;    0.0;   0;   146.26;1979110801:00;eor
       5906;1979110801:09;    1;   -999;    0.0;    0.0;   0;   142.15;1979110802:00;eor
       5906;1979110802:09;    1;   -999;    0.0;    0.0;   0;   135.10;1979110803:00;eor
       5906;1979110803:09;    1;   -999;    0.0;    0.0;   0;   126.41;1979110804:00;eor
       5906;1979110804:09;    1;   -999;    0.0;    0.0;   0;   116.92;1979110805:00;eor
       5906;1979110805:09;    1;   -999;    0.0;    0.0;   0;   107.21;1979110806:00;eor
       5906;1979110806:09;    1;   -999;    0.0;    0.0;   0;    97.67;1979110807:00;eor
       5906;1979110807:09;    1;   -999;    2.0;    2.0;   0;    88.66;1979110808:00;eor
       5906;1979110808:09;    1;   -999;    2.0;    2.0;   0;    80.55;1979110809:00;eor
       5906;1979110809:09;    1;   -999;    7.0;    7.0;   0;    73.81;1979110810:00;eor
       5906;1979110810:09;    1;   -999;   34.0;   39.0;  12;    68.90;1979110811:00;eor
       5906;1979110811:09;    1;   -999;   53.0;   58.0;   6;    66.31;1979110812:00;eor
       5906;1979110812:09;    1;   -999;   53.0;   82.0;  36;    66.32;1979110813:00;eor
       5906;1979110813:09;    1;   -999;   53.0;  104.0;  48;    68.94;1979110814:00;eor
       5906;1979110814:09;    1;   -999;   38.0;   47.0;  18;    73.86;1979110815:00;eor
       5906;1979110815:09;    1;   -999;   18.0;   18.0;   0;    80.63;1979110816:00;eor
       5906;1979110816:09;    1;   -999;    2.0;    2.0;   0;    88.74;1979110817:00;eor
       5906;1979110817:09;    1;   -999;    0.0;    0.0;   0;    97.77;1979110818:00;eor
       5906;1979110818:09;    1;   -999;    0.0;    0.0;   0;   107.33;1979110819:00;eor
       5906;1979110819:09;    1;   -999;    0.0;    0.0;   0;   117.06;1979110820:00;eor
       5906;1979110820:09;    1;   -999;    0.0;    0.0;   0;   126.57;1979110821:00;eor
       5906;1979110821:09;    1;   -999;    0.0;    0.0;   0;   135.30;1979110822:00;eor
