STATIONS_ID;MESS_DATUM;QN_592;ATMO_STRAHL;FD_STRAHL;FG_STRAHL;SD_STRAHL;eor
       5906;19790506;    1;     -999;   918.00;  1721.00;    8.2;eor
       5906;19790507;    1;     -999;   612.00;  2609.00;   13.9;eor
       5906;19790508;    1;     -999;   536.00;  2649.00;   14.0;eor
       5906;19790509;    1;     -999;   860.00;  2448.00;   12.8;eor
       5906;19790510;    1;     -999;  1069.00;  2234.00;    9.0;eor
       5906;19790511;    1;     -999;   610.00;   610.00;    0.0;eor
       5906;19790512;    1;     -999;  1018.00;  2106.00;   10.8;eor
       5906;19790513;    1;     -999;  1296.00;  2264.00;    8.9;eor
       5906;19790514;    1;     -999;   752.00;  2608.00;   13.8;eor
       5906;19790515;    1;     -999;   711.00;  2563.00;   13.9;eor
       5906;19790516;    1;     -999;   769.00;  2543.00;   13.7;eor
       5906;19790517;    1;     -999;   554.00;   581.00;    0.2;eor
       5906;19790518;    1;     -999;   469.00;   500.00;    0.3;eor
       5906;19790519;    1;     -999;  1226.00;  1974.00;    6.5;eor
       5906;19790520;    1;     -999;  1262.00;  1370.00;    0.8;eor
       5906;19790521;    1;     -999;   657.00;  2741.00;   13.4;eor
       5906;19790522;    1;     -999;   876.00;  1306.00;    4.8;eor
       5906;19790523;    1;     -999;   725.00;  2473.00;   11.7;eor
       5906;19790524;    1;     -999;   659.00;   699.00;    1.4;eor
       5906;19790525;    1;     -999;   956.00;  2164.00;    9.7;eor
       5906;19790526;    1;     -999;  1008.00;  2209.00;    7.2;eor
       5906;19790527;    1;     -999;   593.00;   602.00;    0.1;eor
       5906;19790528;    1;     -999;   735.00;  2836.00;   14.4;eor
       5906;19790529;    1;     -999;   751.00;  2658.00;   13.8;eor
       5906;19790530;    1;     -999;   789.00;  2481.00;   12.9;eor
       5906;19790531;    1;     -999;   754.00;  2535.00;   13.4;eor
       5906;19790601;    1;     -999;  1426.00;  1724.00;    4.0;eor
       5906;19790602;    1;     -999;   912.00;  2484.00;   11.5;eor
       5906;19790603;    1;     -999;  1379.00;  1945.00;    4.2;eor
       5906;19790604;    1;     -999;  1099.00;  2240.00;    8.8;eor
       5906;19790605;    1;     -999;  1225.00;  1729.00;    5.6;eor
       5906;19790606;    1;     -999;   925.00;  1004.00;    1.1;eor
       5906;19790607;    1;     -999;   999.00;  1437.00;    3.5;eor
       5906;19790608;    1;     -999;  1204.00;  2194.00;   10.9;eor
       5906;19790609;    1;     -999;  1269.00;  2683.00;   12.8;eor
       5906;19790610;    1;     -999;   855.00;  2678.00;   11.4;eor
       5906;19790611;    1;     -999;  1096.00;  2475.00;   10.2;eor
       5906;19790612;    1;     -999;  1268.00;  2207.00;    7.6;eor
       5906;19790613;    1;     -999;  1065.00;  2332.00;   11.1;eor
       5906;19790614;    1;     -999;  1151.00;  1629.00;    7.3;eor
       5906;19790615;    1;     -999;   855.00;  1190.00;    3.0;eor
       5906;19790616;    1;     -999;  1193.00;  1688.00;    6.1;eor
       5906;19790617;    1;     -999;   965.00;  2127.00;    8.5;eor
       5906;19790618;    1;     -999;   971.00;  1016.00;    0.7;eor
       5906;19790619;    1;     -999;  1317.00;  1500.00;    2.6;eor
       5906;19790620;    1;     -999;  1181.00;  2556.00;   11.9;eor
       5906;19790621;    1;     -999;   806.00;  2421.00;   10.6;eor
       5906;19790622;    1;     -999;   811.00;   817.00;    0.2;eor
       5906;19790623;    1;     -999;  1211.00;  2639.00;   12.1;eor
       5906;19790624;    1;     -999;  1078.00;  1398.00;    4.6;eor
       5906;19790625;    1;     -999;  1092.00;  1744.00;    8.4;eor
       5906;19790626;    1;     -999;  1291.00;  2061.00;    8.6;eor
       5906;19790627;    1;     -999;   870.00;  1752.00;    7.2;eor
       5906;19790628;    1;     -999;  1295.00;  2297.00;    8.9;eor
       5906;19790629;    1;     -999;  1027.00;  1990.00;    9.2;eor
       5906;19790630;    1;     -999;   875.00;  1348.00;    4.0;eor
       5906;19790701;    1;     -999;  1011.00;  1307.00;    2.1;eor
       5906;19790702;    1;     -999;  1326.00;  2122.00;    6.4;eor
       5906;19790703;    1;     -999;  1056.00;  2499.00;   11.8;eor
       5906;19790704;    1;     -999;  1156.00;  1793.00;    6.7;eor
       5906;19790705;    1;     -999;   958.00;  2492.00;   10.0;eor
       5906;19790706;    1;     -999;  1190.00;  2627.00;   12.4;eor
       5906;19790707;    1;     -999;  1260.00;  2163.00;    6.6;eor
       5906;19790708;    1;     -999;  1075.00;  2065.00;    7.7;eor
       5906;19790709;    1;     -999;   765.00;   841.00;    0.6;eor
       5906;19790710;    1;     -999;  1277.00;  1839.00;    7.3;eor
       5906;19790711;    1;     -999;  1018.00;  2616.00;   11.7;eor
       5906;19790712;    1;     -999;   607.00;   643.00;    0.3;eor
       5906;19790713;    1;     -999;   634.00;   663.00;    0.2;eor
       5906;19790714;    1;     -999;  1108.00;  2236.00;   10.3;eor
       5906;19790715;    1;     -999;  1504.00;  1889.00;    6.7;eor
       5906;19790716;    1;     -999;  1197.00;  1381.00;    2.5;eor
       5906;19790717;    1;     -999;   538.00;   551.00;    0.4;eor
       5906;19790718;    1;     -999;  1391.00;  1991.00;    7.2;eor
       5906;19790719;    1;     -999;  1020.00;  1788.00;    9.1;eor
       5906;19790720;    1;     -999;  1157.00;  1434.00;    4.2;eor
       5906;19790721;    1;     -999;   625.00;   668.00;    0.8;eor
       5906;19790722;    1;     -999;  1057.00;  1332.00;    4.9;eor
       5906;19790723;    1;     -999;  1051.00;  1060.00;    0.7;eor
       5906;19790724;    1;     -999;  1135.00;  1413.00;    4.3;eor
       5906;19790725;    1;     -999;  1136.00;  1831.00;    7.0;eor
       5906;19790726;    1;     -999;  1126.00;  2260.00;   10.1;eor
       5906;19790727;    1;     -999;  1152.00;  2013.00;    9.8;eor
       5906;19790728;    1;     -999;  1186.00;  1974.00;    8.5;eor
       5906;19790729;    1;     -999;  1186.00;  2225.00;   10.7;eor
       5906;19790730;    1;     -999;   980.00;  1798.00;    8.0;eor
       5906;19790731;    1;     -999;   960.00;  1163.00;    1.8;eor
       5906;19790801;    1;     -999;  1074.00;  1980.00;    7.9;eor
       5906;19790802;    1;     -999;   487.00;   495.00;    0.3;eor
       5906;19790803;    1;     -999;   934.00;  1291.00;    5.8;eor
       5906;19790804;    1;     -999;   922.00;  1832.00;    8.4;eor
       5906;19790805;    1;     -999;   887.00;  2242.00;   12.5;eor
       5906;19790806;    1;     -999;   880.00;  2164.00;   10.9;eor
       5906;19790807;    1;     -999;   782.00;  2164.00;   10.4;eor
